MJAHR,MBLNR,BWART,EBELP,DMBTR,ZEILE,EBELN,MENGE
2018,4900000001,101,00001,298.0,1,2000000000,1
2018,4900000002,101,00001,557.0,1,2000000001,1
2018,4900000003,101,00001,76210.0,1,2000000002,1
2018,4900000004,101,00001,76210.0,1,2000000002,1
2018,4900000005,101,00001,28.0,1,2000000003,1
2018,4900000006,101,00002,37.0,1,2000000003,1
2018,4900000007,101,00003,44.0,1,2000000003,1
2018,4900000008,101,00001,166.0,1,2000000004,1
2018,4900000009,101,00001,433.0,1,2000000005,1
2018,4900000010,101,00001,37819.0,1,2000000006,1
2018,4900000011,101,00001,3227.0,1,2000000007,1
2018,4900000012,101,00001,18186.0,1,2000000008,1
2018,4900000013,101,00001,1039.0,1,2000000009,1
2018,4900000014,101,00001,1668264.0,1,2000000010,1
2018,4900000015,101,00001,1668264.0,1,2000000010,1
2018,4900000016,101,00001,1668264.0,1,2000000010,1
2018,4900000017,101,00001,112583.0,1,2000000011,1
2018,4900000018,101,00001,320.0,1,2000000012,1
2018,4900000019,101,00001,857.0,1,2000000013,1
2018,4900000020,101,00001,17414.0,1,2000000014,1
2018,4900000021,101,00001,17414.0,1,2000000014,1
2018,4900000022,101,00001,17414.0,1,2000000014,1
2018,4900000023,101,00001,17414.0,1,2000000014,1
2018,4900000024,101,00001,17414.0,1,2000000014,1
2018,4900000025,101,00001,457836.0,1,2000000015,1
2018,4900000026,101,00001,457836.0,1,2000000015,1
2018,4900000027,101,00001,457836.0,1,2000000015,1
2018,4900000028,101,00001,457836.0,1,2000000015,1
2018,4900000029,101,00001,457836.0,1,2000000015,1
2018,4900000030,101,00001,457836.0,1,2000000015,1
2018,4900000031,101,00001,457836.0,1,2000000015,1
2018,4900000032,101,00001,457836.0,1,2000000015,1
2018,4900000033,101,00001,457836.0,1,2000000015,1
2018,4900000034,101,00001,457836.0,1,2000000015,1
2018,4900000035,101,00001,457836.0,1,2000000015,1
2018,4900000036,101,00001,457836.0,1,2000000015,1
2018,4900000037,101,00001,457836.0,1,2000000015,1
2018,4900000038,101,00001,457836.0,1,2000000015,1
2018,4900000039,101,00001,457836.0,1,2000000015,1
2018,4900000040,101,00001,457836.0,1,2000000015,1
2018,4900000041,101,00001,457836.0,1,2000000015,1
2018,4900000042,101,00001,457836.0,1,2000000015,1
2018,4900000043,101,00001,457836.0,1,2000000015,1
2018,4900000044,101,00001,405009.0,1,2000000016,1
2018,4900000045,101,00001,405009.0,1,2000000016,1
2018,4900000046,101,00001,405009.0,1,2000000016,1
2018,4900000047,101,00001,405009.0,1,2000000016,1
2018,4900000048,101,00001,405009.0,1,2000000016,1
2018,4900000049,101,00001,405009.0,1,2000000016,1
2018,4900000050,101,00001,405009.0,1,2000000016,1
2018,4900000051,101,00001,405009.0,1,2000000016,1
2018,4900000052,101,00001,405009.0,1,2000000016,1
2018,4900000053,101,00001,405009.0,1,2000000016,1
2018,4900000054,101,00001,405009.0,1,2000000016,1
2018,4900000055,101,00001,405009.0,1,2000000016,1
2018,4900000056,101,00001,405009.0,1,2000000016,1
2018,4900000057,101,00001,405009.0,1,2000000016,1
2018,4900000058,101,00001,405009.0,1,2000000016,1
2018,4900000059,101,00001,405009.0,1,2000000016,1
2018,4900000060,101,00001,405009.0,1,2000000016,1
2018,4900000061,101,00001,405009.0,1,2000000016,1
2018,4900000062,101,00001,405009.0,1,2000000016,1
2018,4900000063,101,00001,405009.0,1,2000000016,1
2018,4900000064,101,00001,405009.0,1,2000000016,1
2018,4900000065,101,00001,405009.0,1,2000000016,1
2018,4900000066,101,00001,405009.0,1,2000000016,1
2018,4900000067,101,00001,405009.0,1,2000000016,1
2018,4900000068,101,00001,405009.0,1,2000000016,1
2018,4900000069,101,00001,405009.0,1,2000000016,1
2018,4900000070,101,00001,405009.0,1,2000000016,1
2018,4900000071,101,00001,405009.0,1,2000000016,1
2018,4900000072,101,00001,405009.0,1,2000000016,1
2018,4900000073,101,00001,405009.0,1,2000000016,1
2018,4900000074,101,00001,405009.0,1,2000000016,1
2018,4900000075,101,00001,405009.0,1,2000000016,1
2018,4900000076,101,00001,405009.0,1,2000000016,1
2018,4900000077,101,00001,405009.0,1,2000000016,1
2018,4900000078,101,00001,405009.0,1,2000000016,1
2018,4900000079,101,00001,405009.0,1,2000000016,1
2018,4900000080,101,00001,405009.0,1,2000000016,1
2018,4900000081,101,00001,405009.0,1,2000000016,1
2018,4900000082,101,00001,405009.0,1,2000000016,1
2018,4900000083,101,00001,405009.0,1,2000000016,1
2018,4900000084,101,00001,405009.0,1,2000000016,1
2018,4900000085,101,00001,405009.0,1,2000000016,1
2018,4900000086,101,00001,405009.0,1,2000000016,1
2018,4900000087,101,00001,405009.0,1,2000000016,1
2018,4900000088,101,00001,405009.0,1,2000000016,1
2018,4900000089,101,00001,405009.0,1,2000000016,1
2018,4900000090,101,00001,405009.0,1,2000000016,1
2018,4900000091,101,00001,405009.0,1,2000000016,1
2018,4900000092,101,00001,405009.0,1,2000000016,1
2018,4900000093,101,00001,405009.0,1,2000000016,1
2018,4900000094,101,00001,372390.0,1,2000000017,1
2018,4900000095,101,00001,372390.0,1,2000000017,1
2018,4900000096,101,00001,372390.0,1,2000000017,1
2018,4900000097,101,00001,372390.0,1,2000000017,1
2018,4900000098,101,00001,372390.0,1,2000000017,1
2018,4900000099,101,00001,372390.0,1,2000000017,1
2018,4900000100,101,00001,372390.0,1,2000000017,1
2018,4900000101,101,00001,372390.0,1,2000000017,1
2018,4900000102,101,00001,372390.0,1,2000000017,1
2018,4900000103,101,00001,372390.0,1,2000000017,1
2018,4900000104,101,00001,372390.0,1,2000000017,1
2018,4900000105,101,00001,372390.0,1,2000000017,1
2018,4900000106,101,00001,372390.0,1,2000000017,1
2018,4900000107,101,00001,372390.0,1,2000000017,1
2018,4900000108,101,00001,372390.0,1,2000000017,1
2018,4900000109,101,00001,372390.0,1,2000000017,1
2018,4900000110,101,00001,372390.0,1,2000000017,1
2018,4900000111,101,00001,372390.0,1,2000000017,1
2018,4900000112,101,00001,372390.0,1,2000000017,1
2018,4900000113,101,00001,372390.0,1,2000000017,1
2018,4900000114,101,00001,372390.0,1,2000000017,1
2018,4900000115,101,00001,372390.0,1,2000000017,1
2018,4900000116,101,00001,372390.0,1,2000000017,1
2018,4900000117,101,00001,372390.0,1,2000000017,1
2018,4900000118,101,00001,950029.0,1,2000000018,1
2018,4900000119,101,00001,950029.0,1,2000000018,1
2018,4900000120,101,00001,950029.0,1,2000000018,1
2018,4900000121,101,00001,950029.0,1,2000000018,1
2018,4900000122,101,00001,950029.0,1,2000000018,1
2018,4900000123,101,00001,950029.0,1,2000000018,1
2018,4900000124,101,00001,950029.0,1,2000000018,1
2018,4900000125,101,00001,950029.0,1,2000000018,1
2018,4900000126,101,00001,950029.0,1,2000000018,1
2018,4900000127,101,00001,950029.0,1,2000000018,1
2018,4900000128,101,00001,950029.0,1,2000000018,1
2018,4900000129,101,00001,950029.0,1,2000000018,1
2018,4900000130,101,00001,950029.0,1,2000000018,1
2018,4900000131,101,00001,950029.0,1,2000000018,1
2018,4900000132,101,00001,950029.0,1,2000000018,1
2018,4900000133,101,00001,950029.0,1,2000000018,1
2018,4900000134,101,00001,950029.0,1,2000000018,1
2018,4900000135,101,00001,950029.0,1,2000000018,1
2018,4900000136,101,00001,950029.0,1,2000000018,1
2018,4900000137,101,00001,950029.0,1,2000000018,1
2018,4900000138,101,00001,950029.0,1,2000000018,1
2018,4900000139,101,00001,950029.0,1,2000000018,1
2018,4900000140,101,00001,950029.0,1,2000000018,1
2018,4900000141,101,00001,950029.0,1,2000000018,1
2018,4900000142,101,00001,950029.0,1,2000000018,1
2018,4900000143,101,00001,950029.0,1,2000000018,1
2018,4900000144,101,00001,950029.0,1,2000000018,1
2018,4900000145,101,00001,950029.0,1,2000000018,1
2018,4900000146,101,00001,950029.0,1,2000000018,1
2018,4900000147,101,00001,950029.0,1,2000000018,1
2018,4900000148,101,00001,950029.0,1,2000000018,1
2018,4900000149,101,00001,950029.0,1,2000000018,1
2018,4900000150,101,00001,950029.0,1,2000000018,1
2018,4900000151,101,00001,950029.0,1,2000000018,1
2018,4900000152,101,00001,950029.0,1,2000000018,1
2018,4900000153,101,00001,950029.0,1,2000000018,1
2018,4900000154,101,00001,950029.0,1,2000000018,1
2018,4900000155,101,00001,950029.0,1,2000000018,1
2018,4900000156,101,00001,950029.0,1,2000000018,1
2018,4900000157,101,00001,950029.0,1,2000000018,1
2018,4900000158,101,00001,950029.0,1,2000000018,1
