UDATE,OBJECTCLAS,UTIME,CHANGENR,OBJECTID,USERNAME
20180102,EINKBELEG,125300,0000000001,2000000000,batch_00
20180102,EINKBELEG,135300,0000000002,2000000000,batch_00
20180102,EINKBELEG,135300,0000000003,2000000000,batch_00
20180102,EINKBELEG,135300,0000000004,2000000000,batch_00
20180102,EINKBELEG,135300,0000000005,2000000000,batch_00
20180102,EINKBELEG,135300,0000000006,2000000000,batch_00
20180102,EINKBELEG,135300,0000000007,2000000000,batch_00
20180102,EINKBELEG,135300,0000000008,2000000000,user_000
20180103,EINKBELEG,084900,0000000009,2000000001,batch_00
20180103,EINKBELEG,094900,0000000010,2000000001,batch_00
20180103,EINKBELEG,094900,0000000011,2000000001,batch_00
20180103,EINKBELEG,094900,0000000012,2000000001,batch_00
20180103,EINKBELEG,094900,0000000013,2000000001,batch_00
20180103,EINKBELEG,094900,0000000014,2000000001,batch_00
20180103,EINKBELEG,094900,0000000015,2000000001,batch_00
20180103,EINKBELEG,094900,0000000016,2000000001,user_000
20190117,EINKBELEG,105800,0000000017,2000000001,user_003
20190117,EINKBELEG,105800,0000000018,2000000001,user_003
20180104,EINKBELEG,131700,0000000019,2000000002,batch_00
20180104,EINKBELEG,141700,0000000020,2000000002,batch_00
20180104,EINKBELEG,141700,0000000021,2000000002,batch_00
20180104,EINKBELEG,141700,0000000022,2000000002,batch_00
20180104,EINKBELEG,141700,0000000023,2000000002,batch_00
20180104,EINKBELEG,141700,0000000024,2000000002,batch_00
20180104,EINKBELEG,141700,0000000025,2000000002,batch_00
20180104,EINKBELEG,141700,0000000026,2000000002,user_000
20180208,EINKBELEG,101900,0000000027,2000000002,user_000
20190117,EINKBELEG,105900,0000000028,2000000002,user_003
20190117,EINKBELEG,105900,0000000029,2000000002,user_003
20180108,EINKBELEG,062100,0000000030,2000000003,batch_00
20180108,EINKBELEG,072100,0000000031,2000000003,batch_00
20180108,EINKBELEG,072100,0000000032,2000000003,batch_00
20180108,EINKBELEG,072100,0000000033,2000000003,batch_00
20180108,EINKBELEG,072100,0000000034,2000000003,batch_00
20180108,EINKBELEG,072100,0000000035,2000000003,batch_00
20180108,EINKBELEG,072100,0000000036,2000000003,batch_00
20180108,EINKBELEG,072100,0000000037,2000000003,user_000
20180108,EINKBELEG,062100,0000000038,2000000003,batch_00
20180108,EINKBELEG,072100,0000000039,2000000003,batch_00
20180108,EINKBELEG,072100,0000000040,2000000003,batch_00
20180108,EINKBELEG,072100,0000000041,2000000003,batch_00
20180108,EINKBELEG,072100,0000000042,2000000003,batch_00
